note_id,title,l1_main,l2_main,total_interaction,text
69d27b7600000000220000c2,时长半小时！光遇竞速大电影《时代》上线！,时长控制,时长偏好,119246,时长半小时！光遇竞速大电影《时代》上线！ 送给光遇竞速五周年，送给竞速赛场上的每一个人#光遇[话题]# #光遇竞速大电影时代[话题]# #光遇花憩节[话题]# #光遇人均小太阳[话题]# #光遇大电影[话题]# #RED新生代创作大赛[话题]# #二创剧场[话题]#
668cb7c40000000025001978,“仅此782秒，致我永远热泪盈眶的高三.”,观看体验,未分类,37618,"“仅此782秒，致我永远热泪盈眶的高三.” 人没有办法同时拥有青春和对青春的感受；
​但是很庆幸你们至少来过，
​在我的青春里留下炙热的一笔。
高考不是终点，
离别也并非句号。
​祝大家都有光明的未来！
​我们来日方长！
#高考[话题]# #vlog[话题]# #毕业[话题]# #高三[话题]#  #高考加油[话题]# #励志[话题]# #青春回忆[话题]# #青春[话题]# #师大附中[话题]#"
6982b7f1000000002203016b,【长视频】一份人生使用手册：观察并爱自己,社交互动,跨端同步,135436,"【长视频】一份人生使用手册：观察并爱自己 一直没在这边同步，这次也一起发上来吧～
#拥抱我的身体信号[话题]# #观察[话题]# #马住生活的光[话题]# #J人的生活[话题]# #我的天赋进化史[话题]# #爱你老己[话题]# #人生意义[话题]# #计划[话题]# #自我管理[话题]# #如何让人生开挂[话题]# @热点薯"
6764c999000000000b017bcc,五日生活小簿超长版📝自己做干净漂亮饭,未分类,未分类,72231,五日生活小簿超长版📝自己做干净漂亮饭 #vlog[话题]# #vlog我的一天[话题]# #日常饮食[话题]##小红书慢人节[话题]#
6885a7300000000017034ecd,“你打算怎样度过你的人生？”,内容质量,剧情评价,75735,“你打算怎样度过你的人生？” #励志[话题]# #正能量[话题]# #人生[话题]# #正能量[话题]# #高能[话题]# #高分电影[话题]# #电影剪辑[话题]# #我的人生电影[话题]# #努力[话题]# #你将活出怎样的人生[话题]# #你的人生属于你自己[话题]# #去过你想要的生活吧[话题]# #选择你想要的生活[话题]# #你的人生你来定义[话题]# #上海电影节[话题]# #乐观[
69350ce8000000000d0384c3,长视频，建议1.5倍速观看。长期处于慢性压力，容易导致低效和沉溺幻想#慢性压力[话题]# #身体健康[话题]# #心理压力[话题]# #温水煮青蛙[话题]# #低效[话题]# #低价值感[话题]# #学点儿心理学[话题]#,时长控制,倍速播放,82459,长视频，建议1.5倍速观看。长期处于慢性压力，容易导致低效和沉溺幻想#慢性压力[话题]# #身体健康[话题]# #心理压力[话题]# #温水煮青蛙[话题]# #低效[话题]# #低价值感[话题]# #学点儿心理学[话题]# 长视频，建议1.5倍速观看。长期处于慢性压力，容易导致低效和沉溺幻想#慢性压力[话题]# #身体健康[话题]# #心理压力[话题]# #温水煮青蛙[话题]# #低效[话题]# 
66de7848000000000c01a78a,那些我所拥有的「奢侈品」,观看体验,身体疲劳,61373,"那些我所拥有的「奢侈品」 之前刷到 @阿文就是Aya 的视频很有感触
我一直都坚信，金钱从来无法困住我们的步伐。
人生中最重要的东西，也往往都不是购得的。
在我们的身边，有无数像我一样的普通人都拥有着别人买不来也夺不走的、属于自己的奢侈品。
#小红书外人节[话题]#  #户外是我的精神保护区[话题]#  #女性力量[话题]#  #女性觉醒[话题]#  #独立女性[话题]#  #自由[话题]#  #"
67e3c7a0000000001e002ea1,台球公主发癔症,场景使用,剧情评价,61113,台球公主发癔症 #炸裂[话题]# #睡前故事[话题]# #女大学生[话题]# #情感[话题]#
69d45be200000000220034e0,我在哥斯达黎加丛林的25天,时长控制,时长偏好,81751,"我在哥斯达黎加丛林的25天 注意此视频时长140分钟！
这是《雨林时钟》系列 25 天超长完整重制版，把我在雨林里的日夜、遇见的每一个小生命，都原原本本呈现给你。有相遇与告别，有温柔与残酷，有喧嚣也有寂静。
愿你在这片绿色世界里，慢下来，听见自然真正的声音。 #RED新生代创作大赛[话题]#  #科学向导[话题]#  #神奇的动物[话题]# #动物科普[话题]#  #我看到的世界[话题]# #野外"
69bf97c0000000001a030f25,你凭啥免费啊.....,场景使用,剧情评价,49671,你凭啥免费啊..... 库存（发现漏发了一篇）嘻嘻#中尖商[话题]# #抽象[话题]# #真实还原[话题]# #真实事件[话题]# #搞笑[话题]# #吐槽[话题]# #电子榨菜[话题]# #睡前故事[话题]#
693309d0000000001f00c7f6,有被种草的热歌合集～🎧,功能需求,时长偏好,62507,有被种草的热歌合集～🎧 送给大家一小时的音乐#主要是歌好听[话题]# #一直循环播放[话题]# #宝藏歌曲[话题]# #氛围感歌曲[话题]# #宝藏音乐[话题]#
677ba0b1000000000100988f,Study vlog☁️ 无倍速 一小时 白噪音·伴学,时长控制,倍速播放,48959,"Study vlog☁️ 无倍速 一小时 白噪音·伴学 🙇🏻‍♀️最长只能放得下1h
	
🙇🏻‍♀️祝你明天比今天收获更多
	
#学习打卡[话题]# #study[话题]# #study_account[话题]##学习vlog[话题]# #学习供暖计划[话题]# #studyvlog[话题]##治愈[话题]##宝藏新品[话题]##小红书小美说[话题]##REDGLOW[话题]#﻿"
69ccc7bd000000002003b4a4,穷女收入开窍拿结果（深度长视频）,内容质量,未分类,63656,穷女收入开窍拿结果（深度长视频） 我晓得大部分人看不下去，因为很难看需要反复吸收。但我更知道真理在少部分人手里#vlog[话题]# #自媒体[话题]# #个人成长[话题]# #RED新生代创作大赛[话题]# #认知觉醒[话题]#
69c234de000000001a031711,高温幸存一口气看完,行为习惯,观看时长,39596,高温幸存一口气看完 暴雨过后，所有人都欢呼庆祝，却没有人知道更大的灾难即将来临#原创动画[话题]# #末日[话题]# #自然堂小紫瓶[话题]# #抗老精华[话题]# #一口气看完[话题]#
69da2f21000000001a027055,哥们你真是那个....,场景使用,剧情评价,29091,哥们你真是那个.... #中尖商[话题]# #电子榨菜[话题]##睡前故事[话题]##书亦烧仙草[话题]# #书亦超有料[话题]##红豆夹心糯糯珠抹茶[话题]#
684e9eb10000000022024a81,《悉达多》一生的思考与追寻,观看体验,身体疲劳,40646,《悉达多》一生的思考与追寻 为什么乱世总有人读悉达多？黑塞在 1921 年写下的故事，却屡次在一战、二战、越战的硝烟中爆火。当世界用30 岁必须结婚，同龄人年薪百万的标尺丈量你我时，这本书就像蹲在河边的老人，轻声提醒着我们：​​一个人有所追寻时，他只会看到所追寻之物。求知或做人，每条路都铺满荆棘，每个人都必须独行，没人能替你痛。​​做一条浑浊的河吧，别问什么是对的，答案不在对岸，而在你掀起的水花里
68bc303f000000001c00f9bd,团宠跟班 47分钟纯享,内容质量,剧情评价,39652,团宠跟班 47分钟纯享 #搞笑[话题]# #猫meme[话题]# #剧情需要请勿当真[话题]# #根据小说改编[话题]# #团宠[话题]#
696cacf90000000022008f61,《柿子爽嘴》1-22大合集,观看体验,剧情评价,35371,《柿子爽嘴》1-22大合集 #猫meme[话题]# #猫meme小剧场[话题]# #超爆小故事[话题]# #剧情[话题]# #女频[话题]#
69a173f3000000001d012ffa,#一口气看完系列[话题]# 极寒末世来临，而我却在壁炉旁吃火锅。完整版！#末日生存[话题]# #末世[话题]# #末日囤货文[话题]#,行为习惯,观看时长,33495,#一口气看完系列[话题]# 极寒末世来临，而我却在壁炉旁吃火锅。完整版！#末日生存[话题]# #末世[话题]# #末日囤货文[话题]# #一口气看完系列[话题]# 极寒末世来临，而我却在壁炉旁吃火锅。完整版！#末日生存[话题]# #末世[话题]# #末日囤货文[话题]#
69f7d41d0000000036032f7c,叶罗丽拆卡长视频：回家吧女儿回家吧🥺,未分类,未分类,25341,叶罗丽拆卡长视频：回家吧女儿回家吧🥺 #觅柔的拆卡日记[话题]# #拆卡日记[话题]# #拆卡视频[话题]# #叶罗丽卡片[话题]# #拆卡[话题]# #叶罗丽[话题]# #拆卡日常[话题]# #精灵梦叶罗丽[话题]# #叶罗丽精灵梦[话题]# #吃谷[话题]#
667d2b7e000000001c021c60,真怕这些镜头被拆穿 这些剧原来是这样拍成的#经典老剧[话题]# #港星女神[话题]# #记录我的生活[话题]# #生活需要分享欲[话题]# #每秒都值得记录[话题]# #用小红书记录点滴生活[话题]# #搞笑[话题]#,功能需求,分享推荐,24937,真怕这些镜头被拆穿 这些剧原来是这样拍成的#经典老剧[话题]# #港星女神[话题]# #记录我的生活[话题]# #生活需要分享欲[话题]# #每秒都值得记录[话题]# #用小红书记录点滴生活[话题]# #搞笑[话题]# 真怕这些镜头被拆穿 这些剧原来是这样拍成的#经典老剧[话题]# #港星女神[话题]# #记录我的生活[话题]# #生活需要分享欲[话题]# #每秒都值得记录[话题]# #用小红书记
67a4790100000000170382db,我的世界雾中人生存一口气看完！超温馨治愈合家欢！﻿#我的世界[话题]#﻿ ﻿#minecraft[话题]#﻿,情绪感受,正面情绪,34213,我的世界雾中人生存一口气看完！超温馨治愈合家欢！﻿#我的世界[话题]#﻿ ﻿#minecraft[话题]#﻿ 我的世界雾中人生存一口气看完！超温馨治愈合家欢！﻿#我的世界[话题]#﻿ ﻿#minecraft[话题]#﻿
69fdd30800000000360024fa,再见了，所有的爬虫战士,功能需求,未分类,39530,再见了，所有的爬虫战士 #爬虫[话题]# #数据挖掘[话题]# #数据科学[话题]# #数据分析[话题]# #ai[话题]# #ai智能体[话题]# #浏览器智能体[话题]# #好视频扶持计划[话题]#
6946c4c20000000019024dc6,完整版！我囤货躺赢！,观看体验,正面情绪,28857,完整版！我囤货躺赢！ #一口气看完系列[话题]# #末日生存[话题]# #复仇爽文[话题]# #末日囤货文[话题]#
688c28fa000000002501ae4d,ASMR|让你困到眼睛睁不开的助眠,观看体验,视觉疲劳,26397,ASMR|让你困到眼睛睁不开的助眠 #goodhealth牡蛎精[话题]# #goodhealth[话题]# #好健康牡蛎精[话题]# #声控助眠[话题]# #asmr助眠[话题]# #asmr[话题]# #助眠[话题]# #解压声控[话题]# #助眠视频[话题]# #ASMR[话题]#
69f60e52000000003502e931,来看看我在上海GAF怒花4K买了些啥🍡长视频,观看体验,沉浸感,23710,"来看看我在上海GAF怒花4K买了些啥🍡长视频 剪完视频发现光在杉跟杏两个区逛了
其他的一家没逛到哈哈哈
#00:05[时刻]# 杏406
#00:22[时刻]# 杏254
#00:41[时刻]# 杏255
#01:19[时刻]# 杏107
#02:07[时刻]# 杉434
#02:32[时刻]# 杉413
#03:01[时刻]# 杏209
#03:23[时刻]# 杏232
#03:48[时刻]# "
69368ae2000000001e00ed9d,居民楼怪谈合集,行为习惯,观看时长,28304,居民楼怪谈合集 居民楼怪谈合集 一口气看完居民楼里的规则怪谈，究竟是怎样的楼房会同时出现十三条规则呢#原创动画[话题]# #一口气看完系列[话题]# #动画[话题]# #惊悚悬疑[话题]# #规则怪谈[话题]#
69d50f1500000000210398e4,让你在四分钟入睡🛌💤,观看体验,沉浸感,23585,让你在四分钟入睡🛌💤 【daridrea】口腔音｜视觉助眠｜轻语 #声控助眠[话题]# #助眠[话题]# #asmr[话题]# #沉浸式入睡[话题]# #解压助眠[话题]# #助眠解压伴你入睡[话题]# #asmr助眠[话题]# #asmr助眠敲击音[话题]##口腔音[话题]# #助眠视频[话题]#
697c9a5c0000000022020cb5,超长完整版！一口气看完莉莉末日囤货完整版,场景使用,剧情评价,23478,超长完整版！一口气看完莉莉末日囤货完整版 #原创动画[话题]# #末日求生[话题]# #末日生存[话题]# #睡前故事[话题]# #末日[话题]# #解说[话题]#
68a59dd4000000001c032127,吃饭时间来看一集超下饭的蜡笔小新吧~,时长控制,时长偏好,19072,吃饭时间来看一集超下饭的蜡笔小新吧~ ﻿#蜡笔小新[话题]#﻿ ﻿#动漫[话题]#﻿
69f350120000000036003394,世界向沈星回俯首称臣而他的渴求皆因你而起,未分类,分享推荐,18649,世界向沈星回俯首称臣而他的渴求皆因你而起 一期解读长视频献给沈星回和爱他的人 #沈星回[话题]# #恋与深空[话题]# #恋与深空热雾情深[话题]# #恋与深空爱浴卡[话题]# #恋与深空渴慕与浮沉[话题]#
676cf5e2000000000800c23e,可能是你刷到过最细的《红楼梦》讲解视频,未分类,短视频对比,21359,可能是你刷到过最细的《红楼梦》讲解视频 ﻿#红楼梦[话题]#﻿ ﻿#曹雪芹[话题]#﻿ ﻿#名著[话题]#﻿ ﻿#林黛玉[话题]#﻿ ﻿#贾宝玉[话题]#﻿
687f698e000000001d00d863,（完整版）当你抛100次硬币都是正面时…,未分类,未分类,17396,（完整版）当你抛100次硬币都是正面时… #原创动画[话题]# #动漫[话题]# #悬疑[话题]# #细思极恐[话题]#
6887cd630000000012030ee5,百年百本诺贝尔奖作品解读：第一本《窄门》,时长控制,时长偏好,20200,百年百本诺贝尔奖作品解读：第一本《窄门》 百年百本诺贝尔奖作品解读——第1本：1947年诺奖得主纪德的《窄门》。这是一个全新的栏目。书虫将向你详细讲解百年来诺贝尔文学奖的必读经典，我们一起去品读那些被时间加冕的不朽名著。视频有点长，你可以收藏起来慢慢听。我们的第一站，便是1947年诺奖得主安德烈·纪德笔下那扇令人心碎的《窄门》。分享书里的一段美文：“我常常感到爱情是我身上最美好的东西，我的一切美德
6722566b000000001d0382dc,付航脱口秀58分钟合集@付航脱口秀 每一个ADHD多动症养育者，都要去认识他爸爸#付航脱口秀[话题]# #付航passion[话题]# #付航[话题]# #付航[话题]##付航北京[话题]# #ADHD[话题]# #多动症[话题]# #adhd[话题]# #adhd[话题]# #小红书运营干货[话题]#,未分类,观看时长,19927,付航脱口秀58分钟合集@付航脱口秀 每一个ADHD多动症养育者，都要去认识他爸爸#付航脱口秀[话题]# #付航passion[话题]# #付航[话题]# #付航[话题]##付航北京[话题]# #ADHD[话题]# #多动症[话题]# #adhd[话题]# #adhd[话题]# #小红书运营干货[话题]# 付航脱口秀58分钟合集@付航脱口秀 每一个ADHD多动症养育者，都要去认识他爸爸#付航脱口秀[
69b75818000000001d01facc,当童话照进现实，请为自己戴上王冠,未分类,观看频率,14561,当童话照进现实，请为自己戴上王冠 #我在小红书追剧[话题]# #公主日记[话题]# #影视解说[话题]#
688729cc0000000011002094,74分钟，一口气看完量子力学（上集）,内容质量,制作水平,25651,74分钟，一口气看完量子力学（上集） 本视频耗时三个月，制作共计74分钟，将为你深度解读量子力学全貌，包括量子纠缠，量子隧穿，量子退相干，意识与观察者效应，波函数与概率波，测量坍塌效应，延迟选择量子擦除实验，量子计算机原理，哥本哈根诠释，量子场论！一口气带你看懂量子力学的核心知识﻿#量子力学[话题]#﻿ ﻿#科普[话题]#﻿ ﻿ ﻿#物理学[话题]#﻿ ﻿#科学[话题]#﻿
6965bfbd000000000a02c2ff,《魔丸保姆》全集#猫meme[话题]# #猫meme小剧场[话题]##猫meme日常[话题]# #抽象[话题]##小说[话题]#,未分类,未分类,16528,《魔丸保姆》全集#猫meme[话题]# #猫meme小剧场[话题]##猫meme日常[话题]# #抽象[话题]##小说[话题]# 《魔丸保姆》全集#猫meme[话题]# #猫meme小剧场[话题]##猫meme日常[话题]# #抽象[话题]##小说[话题]#
691d275e000000001e022810,一口气看完一整部恐怖片《找到你了》,行为习惯,观看时长,14247,一口气看完一整部恐怖片《找到你了》 一口气看完一整部恐怖片《找到你了》#惊悚片[话题]# #悬疑惊悚[话题]# #恐怖片[话题]# #电影解说[话题]# #恐怖悬疑[话题]# #解说[话题]# #一口气看完[话题]# #高分电影[话题]# #原创影视解说[话题]# #我的观影报告[话题]#
68552bb3000000002001abc2,一部被片名耽误的神作！《油炸绿番茄》,内容质量,剧情评价,14079,"一部被片名耽误的神作！《油炸绿番茄》 34年前，她们就拍出了女性最需要的电影！复仇+悬疑+治愈+救赎，一个关于她们的故事，女性间的相互救赎永远值得被歌颂！
﻿#油炸绿番茄[话题]#﻿ ﻿#影视解说[话题]#﻿ ﻿#电影解读[话题]#﻿ ﻿#经典电影[话题]#﻿ ﻿#百合[话题]#﻿ ﻿#橘里橘气[话题]#﻿"
6931acc6000000000d03496b,"求推荐b站下饭or唠嗑长视频，适合当背景板时不时看一眼的那种。做事情的时候总喜欢电脑播点什么玩意儿听个声，时不时抬头看一眼。看日漫或者美剧呢需要时刻盯着字幕，游戏实况呢也没找到合心意的...
	
二编:可自荐。个人喜好thh的游戏实况，影视飓风团队的长视频，还有罗永浩访谈这一类的视频。",功能需求,制作水平,20038,"求推荐b站下饭or唠嗑长视频，适合当背景板时不时看一眼的那种。做事情的时候总喜欢电脑播点什么玩意儿听个声，时不时抬头看一眼。看日漫或者美剧呢需要时刻盯着字幕，游戏实况呢也没找到合心意的...
	
二编:可自荐。个人喜好thh的游戏实况，影视飓风团队的长视频，还有罗永浩访谈这一类的视频。 求推荐b站下饭or唠嗑长视频，适合当背景板时不时看一眼的那种。做事情的时候总喜欢电脑播点什么玩意儿听个声，时不时"
6982ed0f0000000028008071,求学习时可以放的视频推荐,观看体验,沉浸感,17190,"求学习时可以放的视频推荐 如题，是那种一个人安静做自己事的长视频推荐(无bgm)看别人在自己面前做点事情会觉得很踏实
想学习的时候在旁边放着看，内容是做手帐拼贴造景贴纸学习生活助眠视频还是vlog都可以，不太无聊的，看着会有一种更热爱生活的感觉，希望有半小时以上的长度
	
请直接把视频甩我脸上🥺
不看综艺小说电视剧
	
我自己看的：阿b：混搭战神（一边聊天做手帐）
声格cresound（混音师听歌"
69e98736000000002200eb73,《搞笑动物大合集》耗时两年半，时长3615秒,时长控制,时长偏好,19418,《搞笑动物大合集》耗时两年半，时长3615秒 #搞笑动物解说[话题]# #搞笑[话题]# #动物世界[话题]#
67800748000000000203c6dc,放假刷到我算是有福了🤩,平台对比,B站体验,16217,放假刷到我算是有福了🤩 #某幻君[话题]# #哔哩哔哩[话题]# #老番茄[话题]# #电子榨菜[话题]# #中国boy[话题]# #刷到就是赚到[话题]##放假[话题]#
69fc58f8000000003701edf8,ASMR 1小时温柔眼部清洁｜黏腻嘴部音｜超近距,观看体验,沉浸感,13529,"ASMR 1小时温柔眼部清洁｜黏腻嘴部音｜超近距 沉浸式1小时温柔眼部护理 ✨
超近距离的细腻清洁、黏腻嘴部音与轻柔环境音乐，带来放松又安心的ASMR体验。适合睡前、学习放松或减压时收听，让自己慢慢进入平静状态💤
🌙 无人声
🎧 建议佩戴耳机获得更佳体验
✨ 包含：眼部清洁 / 轻柔护理 / Sticky Mouth Sounds / Ambient Music
#ASMR[话题]#
#眼部清洁["
69eb4eea000000003501d280,女宝！不要让短视频吞没你的脑子2.0🎬,功能需求,智能推荐,15129,"女宝！不要让短视频吞没你的脑子2.0🎬 长视频&播客推荐第二期来啦！希望大家喜欢🫶
	
也欢迎大家在评论区互相分享宝藏电影/播客哟
	
#电影推荐[话题]# #女性主义[话题]# #穿普拉达的女王[话题]# #播客推荐[话题]# #女性成长[话题]#  #自我提升[话题]# #高中生[话题]# #女大学生[话题]# #Allin我自己[话题]#"
66dc1117000000001e01b16a,推文素材，礼貌拿,情绪感受,正面情绪,15910,推文素材，礼貌拿 #推文素材[话题]#  #小说推文素材免费自取[话题]#  #解压[话题]#
6a002647000000003502f60b,一期视频看懂九子夺嫡,观看体验,沉浸感,13252,一期视频看懂九子夺嫡 #RED新生代创作大赛[话题]# #中国历史[话题]# #人文历史趣发现[话题]# #嫡长子与生俱来的威严[话题]# #历史知识[话题]# #历史的遗憾[话题]# #历史文化[话题]# #一读就上瘾的中国史[话题]# #历史人物[话题]# @薯队长 @薯管家
694de7cd000000001e0082a4,就他了！开睡！,场景使用,剧情评价,14859,就他了！开睡！ 一口气听完张居正的一生！#历史集说[话题]# #明朝[话题]# #张居正[话题]# #历史人物[话题]# #睡前故事[话题]#
6885c749000000002400a88e,本视频共耗时三个半月制作，奇葩动物大合集,内容质量,制作水平,14715,本视频共耗时三个半月制作，奇葩动物大合集 本视频共耗时三个半月制作，一口气带您看完各种动物的奇葩日常 ﻿#动物科普[话题]#﻿ ﻿#动物解说[话题]#﻿ ﻿#一代人有一代人的动物世界[话题]#﻿ ﻿#神奇动物在小红书[话题]#﻿ ﻿#奇葩动物[话题]#﻿ ﻿#动物的迷惑行为[话题]#﻿
696c77100000000022008b91,一小时超长合集：祝大家晚安好梦~,行为习惯,时长偏好,15507,一小时超长合集：祝大家晚安好梦~ #末日[话题]# #末日生存[话题]# #末世[话题]# #原创动画[话题]# #合集[话题]# #一口气看完[话题]# #一口气看完系列[话题]# #极寒[话题]# #末世[话题]#
690870410000000005038b88,最好是恐游/剧情向，视频越长越好,内容质量,剧情评价,15178,"最好是恐游/剧情向，视频越长越好 如题，是苦逼小画手需要一边敲屏幕一边看(听？)，抬头频率特别特别低，又听的很认真不想错过各种剧情细节[完啦R]
各位一线例如桃黑黑散人都快要听完了，最喜欢的是岚少所有视频都已经看包浆了....
想求助一下大家还有没有什么珍藏....(私心是比较喜欢声音好听的、不要太嗲女声)
	
#不知道打什么标签[话题]# #求助[话题]# #up主推荐[话题]# #生活小妙招["
68479e5c000000002100d197,一些我画画的时候听的东西,功能需求,剧情评价,15058,"一些我画画的时候听的东西 唐突汇总一下我的电子榨菜，因为博主属于非常喜欢听故事并且画画的时候一定要听点有情节的东西的人，同时发现大家好像都有点头疼画画的时候听什么的问题，于是把我的私货整理了一下…具体如下图，分为讲故事/游戏实况/跑团实况/公开课四部分:
	
因为博主学历也比较一般所以知识密度高的低的都有，大家各取所需，总的来说大概标准如下:
1.口条清晰，不需要字幕
2.没有很晦涩的内容
3.够"
68cd667e000000000b01353b,AI视频生产流程，收藏这篇就够！,时长控制,剧情评价,19112,"AI视频生产流程，收藏这篇就够！ 今天给你们上一套完整的AI视频【工业流程】！ 亲测有效，从想法到成片，一条龙直接毕业🎓 想做AI博主或者搞副业的，赶紧把这份作业抄走！
	
1️⃣ 剧本和分镜稿：交给AI大脑🧠
▪️ 工具：ChatGPT / Claude / Deepseek 别自己苦哈哈想了！直接跟AI说你要啥。
直接复制这段“咒语”去用： 「写一个60秒视频脚本，主题是[xxx]，风格[xx"
69706c62000000000a028095,一口气看完（大胃王吃播）完结文小故事,观看体验,剧情评价,10473,一口气看完（大胃王吃播）完结文小故事 #一口气看完[话题]# #沙雕动画[话题]# #完结文[话题]# #爽文[话题]# #电子榨菜[话题]# #睡前故事[话题]# #动画小故事[话题]# #吃播[话题]#
69398b78000000000d00f849,ASMR | 荒野求生徒步，你会带哪个压缩食物？,内容质量,制作水平,10231,"ASMR | 荒野求生徒步，你会带哪个压缩食物？ 接上一期的压缩食物，第二期来喽！
#asmr[话题]# #解压[话题]# #极度舒适[话题]##有趣的美食[话题]#＃食尖上的旅行 #荒野求生[话题]# #asmr治愈[话题]##aiasmr[话题]##asmr[话题]##AlChannel[话题]# ⚠️ai制作的视频，仅供娱乐哦！请注意甄别！"
68c2d2a4000000001b03c295,求推荐挂机视频,功能需求,沉浸感,14240,"求推荐挂机视频 画作业的时候用，所以不能经常抬头看
比较倾向于长视频，比如电影拉片解说，科普视频和游戏实况。
科普的话不限语种，听了能在我光滑的大脑上留下一点印象就行。游戏的话中英文都可以，最好是mc那种类型的，场景不用太吸睛但是内容有的看。
up主声音要温柔一点最好普通话标准口齿清晰。我比较喜欢的类似吾乃肆玖或者fafaidv那种声音你们听过就知道大概是半死不活但是淡淡幽默的
谢谢！
#求助[话"
68dbb2210000000005003e6d,兽神之路1~15（75分钟完结爽剧！）,观看体验,正面情绪,14214,兽神之路1~15（75分钟完结爽剧！） 你重生回到三个月前的御兽大典，激活了金手指戳谁谁噶，走上了御兽王之路。#二次元[话题]#  #原创动画[话题]#  #原创动漫[话题]#  #原创漫画[话题]#  #一口气看完系列[话题]#
